trip_id,start_time,end_time,headway_secs,exact_times,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,route_id,service_id,direction_id,block_id,shape_id
Ptown_FallShoulder_Fri-Sat_NTruro_Out,07:30:00,09:00:00,3600,1,7:30:00,7:30:00,MacMillanPier,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,07:30:00,09:00:00,3600,1,,,DutrasMrkt,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,07:30:00,09:00:00,3600,1,8:00:00,8:00:00,HortonsCamping,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,09:00:00,21:30:00,1800,1,7:30:00,7:30:00,MacMillanPier,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,09:00:00,21:30:00,1800,1,,,DutrasMrkt,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,09:00:00,21:30:00,1800,1,8:00:00,8:00:00,HortonsCamping,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,21:30:00,24:30:00,3600,1,7:30:00,7:30:00,MacMillanPier,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,21:30:00,24:30:00,3600,1,,,DutrasMrkt,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_Out,21:30:00,24:30:00,3600,1,8:00:00,8:00:00,HortonsCamping,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,0.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,7:00:00,7:00:00,HortonsCamping,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,,,HighlandLight,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,,,NTruroCamp,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,,,HighlandNTruro,4,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,,,DutrasMrkt,5,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1,7:30:00,7:30:00,MacMillanPier,6,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1,7:00:00,7:00:00,HortonsCamping,1,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1,,,HighlandLight,2,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1,,,NTruroCamp,3,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1,,,HighlandNTruro,4,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1,,,DutrasMrkt,5,0.0,0.0,Ptown,FallShoulder_Fri-Sat,1.0,,Shp_Ptown_NTruro
