service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Summer_Mon-Fri,1,1,1,1,1,0,0,20140621,20200901
Summer_Mon-Sat,1,1,1,1,1,1,0,20140621,20200901
Summer_Mon-Sun,1,1,1,1,1,1,1,20140621,20200901
Summer_Sun-Thu,1,1,1,1,0,0,1,20140621,20200901
Summer_Fri,0,0,0,0,1,0,0,20140621,20200901
Summer_Fri-Sat,0,0,0,0,1,1,0,20140621,20200901
Summer_Sat,0,0,0,0,0,1,0,20140621,20200901
Summer_Sat-Sun,0,0,0,0,0,1,1,20140621,20200901
Summer_Hyannis,1,1,1,1,1,1,1,20140621,20200901
Summer_Ptown,1,1,1,1,1,1,1,20140621,20200901
Summer_Bike,0,0,0,0,0,1,1,20140621,20200901
SprShoulder_Fri-Sat,0,0,0,0,1,1,0,20130524,20130620
SprShoulder_Sun,0,0,0,0,0,0,1,20130524,20200620
FallShoulder_Fri-Sat,0,0,0,0,1,1,0,20130908,20200923
FallShoulder_Sun,0,0,0,0,0,0,1,20130908,20200923
FallWintSpr_Mon-Fri,1,1,1,1,1,0,0,20130903,20200620
FallWintSpr_Mon-Sat,1,1,1,1,1,1,0,20130903,20200620
FallWintSpr_Sat,0,0,0,0,0,1,0,20130903,20200620
