trip_id,start_time,end_time,headway_secs,exact_times
WHOOSH_Summer_Sun-Thu_Out,09:45:00,19:15:00,1800,1
WHOOSH_Summer_Sun-Thu_In,10:10:00,19:40:00,1800,1
WHOOSH_Summer_Fri-Sat_Out,09:45:00,19:45:00,1800,1
WHOOSH_Summer_Fri-Sat_Out,20:45:00,21:45:00,3600,1
WHOOSH_Summer_Fri-Sat_In,10:10:00,20:10:00,1800,1
WHOOSH_Summer_Fri-Sat_In,21:10:00,22:10:00,3600,1
Hyannis_Summer,11:00:00,21:00:00,1800,1
Ptown_NTruro_Summer_Mon-Sun,07:00:00,24:30:00,1800,1
Ptown_Summer_Mon-Sun,09:00:00,20:00:00,1800,1
Ptown_Summer_Mon-Sun_Eve,20:00:00,24:30:00,1800,1
Bike_Summer_Out,09:00:00,16:30:00,5400,1
Bike_Summer_In,09:00:00,16:30:00,5400,1
Ptown_SprShoulder_Fri-Sat_NTruro_Out,07:30:00,09:00:00,3600,1
Ptown_SprShoulder_Fri-Sat_NTruro_Out,09:00:00,21:30:00,1800,1
Ptown_SprShoulder_Fri-Sat_NTruro_Out,21:30:00,24:30:00,3600,1
Ptown_SprShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1
Ptown_SprShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1
Ptown_SprShoulder_Fri-Sat_NTruro_In,21:00:00,24:00:00,3600,1
Ptown_SprShoulder_Sun_NTruro_Out,07:00:00,09:30:00,3600,1
Ptown_SprShoulder_Sun_NTruro_Out,09:30:00,20:00:00,1800,1
Ptown_SprShoulder_Sun_NTruro_In,07:00:00,09:00:00,3600,1
Ptown_SprShoulder_Sun_NTruro_In,09:00:00,19:30:00,1800,1
Ptown_SprShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1
Ptown_SprShoulder_Sun_RacePt,09:00:00,19:30:00,1800,1
Ptown_SprShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1
Ptown_SprShoulder_Sun_HerringCove,09:00:00,19:30:00,1800,1
Ptown_FallShoulder_Fri-Sat_NTruro_Out,07:30:00,09:00:00,3600,1
Ptown_FallShoulder_Fri-Sat_NTruro_Out,09:00:00,21:30:00,1800,1
Ptown_FallShoulder_Fri-Sat_NTruro_Out,21:30:00,24:30:00,3600,1
Ptown_FallShoulder_Fri-Sat_NTruro_In,07:00:00,09:00:00,3600,1
Ptown_FallShoulder_Fri-Sat_NTruro_In,09:00:00,21:00:00,1800,1
Ptown_FallShoulder_Fri-Sat_NTruro_In,21:00:00,24:00:00,3600,1
Ptown_FallShoulder_Sun_NTruro_Out,07:00:00,09:30:00,3600,1
Ptown_FallShoulder_Sun_NTruro_Out,09:30:00,20:00:00,1800,1
Ptown_FallShoulder_Sun_NTruro_In,07:00:00,09:00:00,3600,1
Ptown_FallShoulder_Sun_NTruro_In,09:00:00,19:30:00,1800,1
Ptown_FallShoulder_Fri-Sat_RacePt,09:00:00,19:30:00,1800,1
Ptown_FallShoulder_Sun_RacePt,09:00:00,19:30:00,1800,1
Ptown_FallShoulder_Fri-Sat_HerringCove,09:00:00,19:30:00,1800,1
Ptown_FallShoulder_Sun_HerringCove,09:00:00,19:30:00,1800,1
