trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
H2O_Summer_Mon-Fri_Out1,6:30:00,6:30:00,HTC,1,0,0
H2O_Summer_Mon-Fri_Out1,6:36:00,6:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Fri_Out1,6:45:00,6:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Fri_Out1,6:52:00,6:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Fri_Out1,6:56:00,6:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Fri_Out1,6:59:00,6:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Fri_Out1,7:09:00,7:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Fri_Out1,7:13:00,7:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Fri_Out1,7:19:00,7:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Fri_Out1,7:21:00,7:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Fri_Out1,7:27:00,7:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Fri_Out1,7:37:00,7:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Fri_Out1,7:40:00,7:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Fri_Out1,7:54:00,7:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Fri_Out1,8:03:00,8:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Fri_Out1,8:07:00,8:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Fri_Out1,8:09:00,8:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Fri_Out1,8:20:00,8:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Fri_Out2,7:30:00,7:30:00,HTC,1,0,0
H2O_Summer_Mon-Fri_Out2,7:36:00,7:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Fri_Out2,7:45:00,7:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Fri_Out2,7:52:00,7:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Fri_Out2,7:56:00,7:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Fri_Out2,7:59:00,7:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Fri_Out2,8:09:00,8:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Fri_Out2,8:13:00,8:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Fri_Out2,8:19:00,8:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Fri_Out2,8:21:00,8:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Fri_Out2,8:27:00,8:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Fri_Out2,8:37:00,8:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Fri_Out2,8:40:00,8:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Fri_Out2,8:54:00,8:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Fri_Out2,9:03:00,9:03:00,MainOrleansCVSMobil,15,0,0
H2O_Summer_Mon-Fri_Out2,9:07:00,9:07:00,SkaketCorners,16,0,0
H2O_Summer_Mon-Fri_Out2,9:09:00,9:09:00,OldColonyVillage,17,0,0
H2O_Summer_Mon-Fri_Out2,9:20:00,9:20:00,S&SOrleans,18,0,0
H2O_Summer_Mon-Fri_Out3,8:30:00,8:30:00,HTC,1,0,0
H2O_Summer_Mon-Fri_Out3,8:36:00,8:36:00,CCHospitalBayviewSt,2,0,0
H2O_Summer_Mon-Fri_Out3,8:45:00,8:45:00,CrowellWYarmouth,3,0,0
H2O_Summer_Mon-Fri_Out3,8:52:00,8:52:00,S&SSYarmouth,4,0,0
H2O_Summer_Mon-Fri_Out3,8:56:00,8:56:00,ShawsSYarmouth,5,0,0
H2O_Summer_Mon-Fri_Out3,8:59:00,8:59:00,MainSYarmouth,6,0,0
H2O_Summer_Mon-Fri_Out3,9:09:00,9:09:00,PatriotSq,7,0,0
H2O_Summer_Mon-Fri_Out3,9:13:00,9:13:00,DennisMunicipal,8,0,0
H2O_Summer_Mon-Fri_Out3,9:19:00,9:19:00,StarMarketHarwich,9,0,0
H2O_Summer_Mon-Fri_Out3,9:21:00,9:21:00,28Harwich,10,0,0
H2O_Summer_Mon-Fri_Out3,9:27:00,9:27:00,MortonSChatham,11,0,0
H2O_Summer_Mon-Fri_Out3,9:37:00,9:37:00,AnchorageChatham,12,0,0
H2O_Summer_Mon-Fri_Out3,9:40:00,9:40:00,ChathamRotary,13,0,0
H2O_Summer_Mon-Fri_Out3,9:54:00,9:54:00,39SOrleans,14,0,0
H2O_Summer_Mon-Fri_Out3,10:03:00,10:03:00,MainOrleansCVSMobil,15,0,0
