stop_code,stop_id,stop_name,stop_lat,stop_lon,location_type
1,HTC,Hyannis Transportation Center (HTC),41.656589,-70.280176,0
2,HyannisDocks,"Steamship Authority Ferry Docks, Hyannis",41.650733,-70.277411,0
4,HyannisYouth,Hyannis Youth & Community Center,41.654563,-70.292781,0
5,CCMall-FC,"Cape Cod Mall (Food Court), Hyannis",41.668803,-70.29804,0
6,CapetownPl,"Capetown Plaza, Hyannis",41.670189,-70.295209,0
7,SouthwindPl,"Southwind Plaza, Hyannis",41.675083,-70.301842,0
8,FestivalMall,"Festival Mall, Hyannis",41.675976,-70.303996,0
9,WilkensMed,"Wilkens Outpatient Medical Complex, Hyannis",41.678282,-70.303667,0
10,SuperS&SHyannis,"Super Stop & Shop (Liberty Square), Hyannis",41.6759,-70.307469,0
12,CapeCodder,"Cape Codder Resort, Hyannis",41.675375,-70.310742,0
13,CCCC,"Cape Cod Community College, West Barnstable",41.690621,-70.337526,0
14,BarnstableCourthouse,"Courthouse Complex, Barnstable",41.70032,-70.303038,0
15,BarnstableHarbor,Barnstable Harbor,41.708668,-70.298027,0
17,CCMall-RE,"Cape Cod Mall Enterance/Route 28, Hyannis",41.664885,-70.294989,0
18,WMain28Centerville,"West Main Street & Route 28, Centerville",41.657707,-70.332487,0
19,Centerville,Centerville (Old Stage Road & Main Street),41.64973,-70.348551,0
20,Osterville,Osterville (Tower Hill Road & Main Street),41.627971,-70.383099,0
21,MarstonsMills,Marstons Mills Marketplace,41.647959,-70.426437,0
22,MashpeeCommons,Mashpee Commons (Stop & Shop),41.619243,-70.489449,0
23,SCapeVillage,"South Cape Village (Marshalls), Mashpee",41.611493,-70.488287,0
24,CommHealth,Community Health Center of Cape Cod,41.607559,-70.48999,0
25,EFalmouthDunkin,East Falmouth Dunkin Donuts,41.578656,-70.560741,0
28,28JonesFalmouth,"Route 28 @ Jones Road, Falmouth",41.561,-70.599128,0
29,FalmouthMall,Falmouth Mall,41.561321,-70.594186,0
30,FalmouthBusDepot,Falmouth Bus Depot,41.556834,-70.623239,0
31,WoodsHoleDocks,"Steamship Authority Ferry Docks, Woods Hole",41.52303,-70.669797,0
32,StFrancisSchool,"St. Francis/Pope John Paul, Hyannis",41.648343,-70.284992,0
33,SturgisSchoolEast,"Sturgis Charter School -- Main Street, Hyannis",41.652118,-70.285388,0
34,SturgisSchoolEastSouthSt,"Sturgis Charter School @ South Street, Hyannis",41.650688,-70.284348,0
35,SturgisSchoolWest,"Sturgis Charter School -- West Main Street, Hyannis",41.647759,-70.300628,0
37,CCHospitalBayviewSt,"Cape Cod Hospital (Bayview Street), Hyannis",41.652859,-70.272117,0
38,CrowellWYarmouth,"Higgins Crowell Road, West Yarmouth",41.650629,-70.242088,0
40,S&SSYarmouth,"Stop & Shop, South Yarmouth",41.658091,-70.207195,0
41,ShawsSYarmouth,"Shaw's, South Yarmouth",41.662202,-70.2022,0
42,MainSYarmouth,"Main Street, South Yarmouth",41.666857,-70.185688,0
43,PatriotSq,"Patriot Square, South Dennis",41.695061,-70.15047,0
44,DennisMunicipal,"Municipal Lot A, Dennis Port",41.668344,-70.123136,0
